,GeoFips,county,state,population,per_capita_income,zip,latitude,longitude
222,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99745,66.05,-154.24
223,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99746,65.69,-156.35
224,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99748,64.35,-158.77
225,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99754,64.9,-157.69
226,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99756,64.65,-150.9
227,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99757,63.81,-152.25
228,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99758,65.15,-149.37
229,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99760,64.47,-148.57
230,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99765,64.72,-158.11
231,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99767,65.5,-150.15
232,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99768,65.03,-154.91
233,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99774,66.01,-149.07
234,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99777,65.18,-152.07
235,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99781,67.0,-146.37
236,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99788,66.64,-143.78
237,02290,Yukon-Koyukuk Census Area,AK,5077,63675,99790,65.39,-148.33
238,08111,San Juan,CO,748,50039,00929,18.4,-66.06
239,08111,San Juan,CO,748,50039,00931,18.4,-66.06
240,08111,San Juan,CO,748,50039,00933,18.4,-66.06
241,08111,San Juan,CO,748,50039,00935,18.4,-66.06
242,08111,San Juan,CO,748,50039,00937,18.4,-66.06
243,08111,San Juan,CO,748,50039,00939,18.4,-66.06
244,08111,San Juan,CO,748,50039,00955,18.4,-66.06
245,08111,San Juan,CO,748,50039,00975,18.4,-66.06
246,08111,San Juan,CO,748,50039,00978,18.37,-66.01
247,35045,San Juan,NM,123312,38370,00929,18.4,-66.06
248,35045,San Juan,NM,123312,38370,00931,18.4,-66.06
249,35045,San Juan,NM,123312,38370,00933,18.4,-66.06
250,35045,San Juan,NM,123312,38370,00935,18.4,-66.06
251,35045,San Juan,NM,123312,38370,00937,18.4,-66.06
252,35045,San Juan,NM,123312,38370,00939,18.4,-66.06
253,35045,San Juan,NM,123312,38370,00955,18.4,-66.06
254,35045,San Juan,NM,123312,38370,00975,18.4,-66.06
255,35045,San Juan,NM,123312,38370,00978,18.37,-66.01
256,49037,San Juan,UT,15278,30198,00929,18.4,-66.06
257,49037,San Juan,UT,15278,30198,00931,18.4,-66.06
258,49037,San Juan,UT,15278,30198,00933,18.4,-66.06
259,49037,San Juan,UT,15278,30198,00935,18.4,-66.06
260,49037,San Juan,UT,15278,30198,00937,18.4,-66.06
261,49037,San Juan,UT,15278,30198,00939,18.4,-66.06
262,49037,San Juan,UT,15278,30198,00955,18.4,-66.06
263,49037,San Juan,UT,15278,30198,00975,18.4,-66.06
264,49037,San Juan,UT,15278,30198,00978,18.37,-66.01
265,53055,San Juan,WA,17492,81858,00929,18.4,-66.06
266,53055,San Juan,WA,17492,81858,00931,18.4,-66.06
267,53055,San Juan,WA,17492,81858,00933,18.4,-66.06
268,53055,San Juan,WA,17492,81858,00935,18.4,-66.06
269,53055,San Juan,WA,17492,81858,00937,18.4,-66.06
270,53055,San Juan,WA,17492,81858,00939,18.4,-66.06
271,53055,San Juan,WA,17492,81858,00955,18.4,-66.06
272,53055,San Juan,WA,17492,81858,00975,18.4,-66.06
273,53055,San Juan,WA,17492,81858,00978,18.37,-66.01
274,11001,District of Columbia,DC,712816,86567,20001,38.91,-77.02
275,11001,District of Columbia,DC,712816,86567,20002,38.91,-76.98
276,11001,District of Columbia,DC,712816,86567,20003,38.88,-76.99
277,11001,District of Columbia,DC,712816,86567,20004,38.89,-77.03
278,11001,District of Columbia,DC,712816,86567,20005,38.9,-77.03
279,11001,District of Columbia,DC,712816,86567,20006,38.9,-77.04
280,11001,District of Columbia,DC,712816,86567,20007,38.91,-77.08
281,11001,District of Columbia,DC,712816,86567,20008,38.94,-77.06
282,11001,District of Columbia,DC,712816,86567,20009,38.92,-77.04
283,11001,District of Columbia,DC,712816,86567,20010,38.93,-77.03
284,11001,District of Columbia,DC,712816,86567,20011,38.95,-77.02
285,11001,District of Columbia,DC,712816,86567,20012,38.98,-77.03
286,11001,District of Columbia,DC,712816,86567,20013,38.89,-77.03
