,GeoFips,per_capita_income
816,19005,51107
817,19007,42125
818,19009,54313
819,19011,57277
820,19013,49133
821,19015,52028
822,19017,52608
823,19019,51065
824,19021,48077
825,19023,49428
826,19025,52585
827,19027,56244
828,19029,50849
829,19031,56528
830,19033,53643
831,19035,60881
832,19037,59495
833,19039,43807
834,19041,54395
835,19043,53657
836,19045,48328
837,19047,45230
838,19049,70851
839,19051,41649
840,19053,38347
841,19055,54843
842,19057,51704
843,19059,63319
844,19061,54751
845,19063,46654
846,19065,47373
847,19067,50215
848,19069,51028
849,19071,50870
850,19073,52647
851,19075,55615
852,19077,54755
853,19079,51584
854,19081,54318
855,19083,50328
856,19085,49678
857,19087,46541
858,19089,52726
859,19091,52298
860,19093,57429
861,19095,58759
862,19097,49878
863,19099,46473
864,19101,42674
865,19103,56573
866,19105,47506
867,19107,48599
868,19109,53422
869,19111,45548
870,19113,56592
871,19115,44821
872,19117,44707
873,19119,57766
874,19121,53244
875,19123,46388
876,19125,53648
877,19127,47696
878,19129,60384
879,19131,62037
880,19133,50807
881,19135,48423
882,19137,45665
883,19139,51135
884,19141,57629
885,19143,50706
886,19145,47321
887,19147,51679
888,19149,59460
889,19151,53074
890,19153,57080
891,19155,47921
892,19157,50139
893,19159,50196
894,19161,59653
895,19163,58465
896,19165,55229
897,19167,55209
898,19169,45951
899,19171,52315
900,19173,44763
901,19175,43735
902,19177,41781
903,19179,42889
904,19181,54251
905,19183,59565
906,19185,46743
907,19187,48862
908,19189,45722
909,19191,54036
910,19193,47731
911,19195,45566
912,19197,52825
913,20001,45840
914,20003,43864
915,20005,42974
916,20007,49804
917,20009,49436
918,20011,44521
919,20013,48026
920,20015,50789
921,20017,56852
922,20019,44908
923,20021,44739
924,20023,54465
925,20025,60647
926,20027,47126
927,20029,44452
928,20031,56988
929,20033,46141
930,20035,42334
931,20037,42963
932,20039,51018
933,20041,47348
934,20043,44885
935,20045,47494
936,20047,61904
937,20049,42431
938,20051,50785
939,20053,47276
940,20055,46899
941,20057,45081
942,20059,46437
943,20061,54663
944,20063,61150
945,20065,56190
946,20067,44835
947,20069,60355
948,20071,89737
949,20073,46032
950,20075,75840
951,20077,57870
952,20079,46698
953,20081,56311
954,20083,61030
955,20085,46523
956,20087,48099
957,20089,55860
958,20091,80681
959,20093,61932
960,20095,50889
961,20097,48250
962,20099,47114
963,20101,72211
964,20103,46176
965,20105,52328
966,20107,44155
967,20109,57732
968,20111,43035
969,20113,58438
970,20115,46588
971,20117,48358
972,20119,65633
973,20121,52811
974,20123,63384
975,20125,40651
976,20127,48171
977,20129,54151
978,20131,56013
979,20133,43566
980,20135,60508
981,20137,47679
982,20139,46698
983,20141,51423
984,20143,45692
985,20145,43986
986,20147,56496
987,20149,57495
988,20151,53750
989,20153,65230
990,20155,44529
991,20157,49163
992,20159,46275
993,20161,45177
994,20163,46817
995,20165,59190
996,20167,48430
997,20169,53320
998,20171,60520
999,20173,56550
1000,20175,43606
1001,20177,51216
1002,20179,50691
1003,20181,48439
1004,20183,54497
1005,20185,50623
1006,20187,85633
1007,20189,48686
1008,20191,44392
1009,20193,51457
1010,20195,56311
1011,20197,54428
1012,20199,59159
1013,20201,52731
1014,20203,61032
1015,20205,45341
1016,20207,43381
1017,20209,36961
1018,21001,35880
1019,21003,35499
1020,21005,44009
1021,21007,45124
1022,21009,41057
1023,21011,35333
1024,21013,34618
1025,21015,53405
1026,21017,51624
1027,21019,43917
1028,21021,43024
1029,21023,42258
1030,21025,38011
1031,21027,39084
1032,21029,46618
1033,21031,38969
1034,21033,40364
1035,21035,38629
1036,21037,53445
1037,21039,48900
1038,21041,41568
1039,21043,36002
1040,21045,36436
1041,21047,42884
1042,21049,43952
1043,21051,35259
1044,21053,35609
1045,21055,39879
1046,21057,44628
1047,21059,46373
1048,21061,37223
1049,21063,27001
1050,21065,36569
1051,21067,54824
1052,21069,39846
1053,21071,41330
1054,21073,47009
1055,21075,39745
1056,21077,38178
1057,21079,38822
1058,21081,40772
1059,21083,42264
1060,21085,38959
1061,21087,39882
1062,21089,45897
1063,21091,40261
1064,21093,47873
1065,21095,35824
1066,21097,41079
1067,21099,37418
1068,21101,44793
1069,21103,43426
1070,21105,46425
1071,21107,42918
1072,21109,33106
1073,21111,57863
1074,21113,49406
1075,21115,37769
1076,21117,62500
1077,21119,35697
1078,21121,33797
1079,21123,42333
1080,21125,37869
1081,21127,36446
1082,21129,32694
1083,21131,38666
1084,21133,35770
1085,21135,36806
1086,21137,37303
1087,21139,43379
1088,21141,40963
1089,21143,40843
1090,21145,52171
1091,21147,30943
1092,21149,43162
1093,21151,39093
1094,21153,38033
1095,21155,41225
1096,21157,45975
1097,21159,32383
1098,21161,45488
1099,21163,44720
1100,21165,35489
1101,21167,41025
1102,21169,35804
1103,21171,42638
1104,21173,39549
1105,21175,31500
1106,21177,37328
1107,21179,47784
1108,21181,39531
1109,21183,36606
1110,21185,68986
1111,21187,37464
1112,21189,36830
1113,21191,46524
1114,21193,43661
1115,21195,39450
1116,21197,37224
